"","IR"
"TCGA-BR-A4IZ-01",0.0277216336453867
"TCGA-BR-A4J1-01",-1.32963556245133
"TCGA-BR-A4J2-01",0.164472301867971
"TCGA-BR-A4J4-01",0.154359855164712
"TCGA-BR-A4J5-01",-0.386652475141333
"TCGA-BR-A4J6-01",-0.872268223550993
"TCGA-BR-A4J7-01",1.08108573166142
"TCGA-BR-A4J8-01",-0.74901071399199
"TCGA-BR-A4J9-01",-0.453135351429676
"TCGA-BR-A4PD-01",0.265914893358886
"TCGA-BR-A4PE-01",0.5848330775365
"TCGA-BR-A4PF-01",0.31193880552253
"TCGA-BR-A4QI-01",0.0062057556039038
"TCGA-BR-A4QL-01",-0.85080185710514
"TCGA-BR-A4QM-01",-0.37772017723032
"TCGA-CD-5798-01",-0.507059996719649
"TCGA-CD-5799-01",-1.08962068818544
"TCGA-CD-5800-01",-0.707835328891095
"TCGA-CD-5801-01",1.57806673025818
"TCGA-CD-5803-01",1.74074510432637
"TCGA-CD-5804-01",-0.324614638822868
"TCGA-CD-5813-01",0.816886123181558
"TCGA-CD-8524-01",0.01966970859331
"TCGA-CD-8525-01",0.338931640382715
"TCGA-CD-8526-01",0.0704287001302831
"TCGA-CD-8527-01",-0.586567388959701
"TCGA-CD-8528-01",-0.901270575278122
"TCGA-CD-8529-01",1.0565328111003
"TCGA-CD-8530-01",-0.394489366038803
"TCGA-CD-8531-01",-0.473072361682067
"TCGA-CD-8532-01",0.918414698767434
"TCGA-CD-8533-01",-1.26947887571372
"TCGA-CD-8534-01",-0.281011062242204
"TCGA-CD-8535-01",-1.39073101223604
"TCGA-CD-8536-01",0.125986518103948
"TCGA-CD-A486-01",-0.566244437720073
"TCGA-CD-A487-01",-1.08299475645301
"TCGA-CD-A489-01",-0.0701305459033631
"TCGA-CD-A48A-01",-0.610949167385742
"TCGA-CD-A48C-01",-0.547292788582635
"TCGA-CD-A4MG-01",-0.950679037463567
"TCGA-CD-A4MH-01",-0.765379200156444
"TCGA-CD-A4MI-01",1.34925355716167
"TCGA-CD-A4MJ-01",-0.346639273131297
"TCGA-CG-4301-01",-0.364971400106063
"TCGA-CG-4304-01",0.11688336481889
"TCGA-CG-4305-01",0.890636572659014
"TCGA-CG-4306-01",0.225613917735031
"TCGA-CG-4436-01",-0.292314598774434
"TCGA-CG-4437-01",0.721636147191794
"TCGA-CG-4438-01",1.18763489717158
"TCGA-CG-4440-01",-0.712512836609314
"TCGA-CG-4441-01",-0.174689679896504
"TCGA-CG-4442-01",-0.676557967576517
"TCGA-CG-4443-01",-1.38599432456101
"TCGA-CG-4444-01",-0.162951358832991
"TCGA-CG-4449-01",-0.105492545831535
"TCGA-CG-4460-01",-0.237532313666553
"TCGA-CG-4462-01",-0.014707767045858
"TCGA-CG-4465-01",0.288029598413957
"TCGA-CG-4466-01",-0.895969618366706
"TCGA-CG-4469-01",-0.42329191418694
"TCGA-CG-4472-01",0.274434259661092
"TCGA-CG-4474-01",0.211636160463712
"TCGA-CG-4475-01",-0.780740351677824
"TCGA-CG-4476-01",0.00967049991235995
"TCGA-CG-4477-01",1.23877976506026
"TCGA-CG-5716-01",-0.392460241295549
"TCGA-CG-5717-01",0.15715241639167
"TCGA-CG-5718-01",-0.0880950148813477
"TCGA-CG-5719-01",-0.336711172948856
"TCGA-CG-5720-01",0.224807304682752
"TCGA-CG-5721-01",2.1862224197995
"TCGA-CG-5722-01",1.62466179162563
"TCGA-CG-5723-01",1.31799803234436
"TCGA-CG-5724-01",-0.167971575021746
"TCGA-CG-5725-01",-0.962157353361978
"TCGA-CG-5726-01",-0.875989479530835
"TCGA-CG-5732-01",0.516272313464608
"TCGA-CG-5734-01",0.737494826593154
"TCGA-D7-5577-01",1.61836303937993
"TCGA-D7-5578-01",0.19732111942496
"TCGA-D7-6518-01",0.0926066722438978
"TCGA-D7-6519-01",-0.695658228666654
"TCGA-D7-6520-01",-0.194018920113659
"TCGA-D7-6521-01",0.263021555484211
"TCGA-D7-6522-01",1.60805668070143
"TCGA-D7-6524-01",-0.258227283273244
"TCGA-D7-6525-01",-0.406988235338749
"TCGA-D7-6526-01",-1.31708485041873
"TCGA-D7-6527-01",-0.665892039050547
"TCGA-D7-6528-01",-0.860979587821124
"TCGA-D7-6815-01",-0.660927518440602
"TCGA-D7-6817-01",-0.269684612208001
"TCGA-D7-6818-01",-0.488681512325692
"TCGA-D7-6820-01",-0.920873575798745
"TCGA-D7-6822-01",-0.272813637496626
"TCGA-D7-8570-01",1.46731149852287
"TCGA-D7-8572-01",0.03763915223297
"TCGA-D7-8573-01",-0.595398181663812
"TCGA-D7-8574-01",0.720720889167799
"TCGA-D7-8575-01",-0.315949683566164
"TCGA-D7-8576-01",-0.66072873588206
"TCGA-D7-8578-01",-0.364170755319608
"TCGA-D7-8579-01",-0.285602167946947
"TCGA-D7-A4YT-01",-0.519900382583079
"TCGA-D7-A4YU-01",1.60834390906049
"TCGA-D7-A4YV-01",0.936862940909218
"TCGA-D7-A4YX-01",1.01416575362588
"TCGA-D7-A4YY-01",0.164951588910157
"TCGA-D7-A4Z0-01",-0.326756265165171
"TCGA-D7-A6EV-01",-1.07997918955955
"TCGA-D7-A6EX-01",-1.08846707583038
"TCGA-D7-A6EY-01",1.22064648760599
"TCGA-D7-A6EZ-01",1.46748214063402
"TCGA-D7-A6F0-01",0.248956219345538
"TCGA-D7-A6F2-01",-0.13084913301277
"TCGA-D7-A747-01",0.00906806764559379
"TCGA-D7-A748-01",-0.242860151419946
"TCGA-D7-A74A-01",-0.672859135689874
"TCGA-EQ-8122-01",-1.05341741834224
"TCGA-EQ-A4SO-01",-1.36184354103151
"TCGA-F1-6177-01",-0.39969030388419
"TCGA-F1-6874-01",0.626200812619196
"TCGA-F1-6875-01",-1.92859186362098
"TCGA-F1-A448-01",-0.09154353922244
"TCGA-F1-A72C-01",0.141099790754001
"TCGA-FP-7735-01",-0.0586374730502683
"TCGA-FP-7829-01",-1.32019549890911
"TCGA-FP-7916-01",1.49396277284901
"TCGA-FP-7998-01",2.27142296622577
"TCGA-FP-8099-01",-0.371107112119982
"TCGA-FP-8209-01",0.786119166040582
"TCGA-FP-8210-01",0.798233786441295
"TCGA-FP-8211-01",-0.265990968368425
"TCGA-FP-8631-01",-1.14231845003701
"TCGA-FP-A4BE-01",1.12251732048663
"TCGA-FP-A4BF-01",1.62556053132551
"TCGA-FP-A8CX-01",-0.531205890536883
"TCGA-FP-A9TM-01",-0.179817255000171
"TCGA-HF-7131-01",-0.19806864143438
"TCGA-HF-7132-01",0.688301792800609
"TCGA-HF-7133-01",0.55107091487901
"TCGA-HF-7134-01",-0.572338506997924
"TCGA-HF-7136-01",-0.694813301405255
"TCGA-HF-A5NB-01",-0.468512650404007
"TCGA-HJ-7597-01",0.856712636056676
"TCGA-HU-8238-01",-0.417003094455705
"TCGA-HU-8243-01",-1.32493062714786
"TCGA-HU-8244-01",-1.62371661352652
"TCGA-HU-8249-01",0.136998252340204
"TCGA-HU-8602-01",1.26441349341274
"TCGA-HU-8604-01",1.18101923789778
"TCGA-HU-8608-01",2.26471590275614
"TCGA-HU-8610-01",0.427623942737002
"TCGA-HU-A4G2-01",-0.0935483505342631
"TCGA-HU-A4G3-01",-1.0850309739416
"TCGA-HU-A4G6-01",-0.856305404059315
"TCGA-HU-A4G8-01",0.654372210200588
"TCGA-HU-A4G9-01",-1.3522773358391
"TCGA-HU-A4GC-01",-0.42223373911529
"TCGA-HU-A4GD-01",-1.40711828369686
"TCGA-HU-A4GF-01",-0.22614800079194
"TCGA-HU-A4GH-01",-1.03393740103217
"TCGA-HU-A4GJ-01",0.860116482493181
"TCGA-HU-A4GN-01",0.242603506138833
"TCGA-HU-A4GP-01",-1.33672112427659
"TCGA-HU-A4GQ-01",-0.139021316148066
"TCGA-HU-A4GT-01",-0.690195270457136
"TCGA-HU-A4GU-01",-0.956133294826032
"TCGA-HU-A4GX-01",0.856282637549816
"TCGA-HU-A4GY-01",1.39838167195266
"TCGA-HU-A4H0-01",1.35260327455044
"TCGA-HU-A4H2-01",-0.393192430852358
"TCGA-HU-A4H3-01",-0.290340668031423
"TCGA-HU-A4H4-01",1.08447267808403
"TCGA-HU-A4H5-01",-0.512831901646291
"TCGA-HU-A4H6-01",-0.431191895345141
"TCGA-HU-A4H8-01",-0.49165998870052
"TCGA-HU-A4HB-01",0.98543760384128
"TCGA-HU-A4HD-01",-1.01932031680515
"TCGA-IN-7806-01",-1.32057108598691
"TCGA-IN-7808-01",1.086035920779
"TCGA-IN-8462-01",-0.651099781218085
"TCGA-IN-8663-01",-0.738165676007544
"TCGA-IN-A6RI-01",-1.42417074351293
"TCGA-IN-A6RJ-01",-1.12721134238937
"TCGA-IN-A6RL-01",-0.513156993945691
"TCGA-IN-A6RN-01",-1.28973975892463
"TCGA-IN-A6RO-01",-0.569918570863011
"TCGA-IN-A6RR-01",-0.691930199140835
"TCGA-IN-A6RS-01",0.0756674729170481
"TCGA-IN-A7NR-01",-0.23755100053803
"TCGA-IN-A7NT-01",-0.764789611998702
"TCGA-IN-A7NU-01",0.0649921833559539
"TCGA-IN-AB1V-01",-1.07574604677086
"TCGA-IN-AB1X-01",1.0775188150458
"TCGA-IP-7968-01",0.447667242879149
"TCGA-KB-A6F7-01",0.72898872533672
"TCGA-KB-A93G-01",-0.720652969683766
"TCGA-KB-A93H-01",-0.835962549739177
"TCGA-KB-A93J-01",0.808309154477976
"TCGA-MX-A5UG-01",0.478464254484481
"TCGA-MX-A5UJ-01",-0.357345634695142
"TCGA-MX-A663-01",-0.514962510385097
"TCGA-MX-A666-01",-0.716567276118008
"TCGA-R5-A7O7-01",-0.621621765697248
"TCGA-R5-A7ZE-01",-1.84028470847715
"TCGA-R5-A7ZF-01",-0.68106123448339
"TCGA-R5-A7ZI-01",0.454305757082479
"TCGA-R5-A7ZR-01",-0.693786422463388
"TCGA-R5-A805-01",-0.255673865360634
